player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,saves_per_match,clean_sheet_rate,distribution,shot_stopping,sweeper_command,composite_score,has_primary_season
990996,Inaki Pena,10268,Elche,ESP-La Liga,0.0,41.1,1.0,4.0,1.3,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92,3.4,3.0,0.0,0.0,0.0,1440,16,Keeper,0.0,0.0,0.0,0.0,0.2125,0.25,67.81862745098039,72.05882352941177,73.8970588235294,70.86534318117515,True
145550,Kevin Trapp,6379,Paris FC,FRA-Ligue 1,0.0,29.8,0.0,4.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.79,2.1,0.0,0.0,0.0,0.0,990,11,Keeper,1.0,1.0,0.0,0.0,0.19090909090909092,0.36363636363636365,64.90196078431372,82.1078431372549,62.54901960784314,68.87865727176127,True
560939,Jean Butez,10171,Como,ITA-Serie A,0.0,29.4,0.0,12.0,1.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37,2.7,1.0,0.0,0.0,0.0,2250,25,Keeper,0.0,0.0,0.0,0.0,0.10800000000000001,0.48,63.55669934640522,64.13235294117646,80.02189542483659,68.28893448453114,True
151001,Péter Gulácsi,178475,RB Leipzig,GER-Bundesliga,0.0,26.9,0.0,9.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94,2.4,0.0,0.0,0.0,0.0,1919,22,Keeper,0.0,0.0,0.0,0.0,0.10909090909090909,0.4090909090909091,58.2312091503268,66.57516339869281,77.91650326797385,66.1522822315014,True
999171,Álvaro Vallés,8603,Real Betis,ESP-La Liga,0.0,22.4,0.0,6.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18,3.1,0.0,0.0,0.0,0.1,1440,16,Keeper,0.0,0.0,0.0,0.0,0.19375,0.375,50.83333333333333,84.80392156862746,71.17647058823529,65.56697552427242,True
1167220,Joan Garcia,8634,Barcelona,ESP-La Liga,0.0,25.2,0.0,9.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.77,2.9,0.0,0.0,0.2,0.1,1620,18,Keeper,1.0,0.3333333333333333,0.0,0.0,0.1611111111111111,0.5,53.67091503267974,74.27287581699346,70.57385620915032,64.22998584603747,True
406501,Daniel Heuer Fernandes,9790,Hamburger SV,GER-Bundesliga,0.0,38.7,0.0,6.0,0.9,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.81,3.1,0.0,0.0,0.0,0.0,1890,21,Keeper,0.0,0.0,0.0,0.0,0.14761904761904762,0.2857142857142857,67.47549019607843,61.029411764705884,59.68137254901961,63.10616886870504,True
577912,Alex Meret,9875,Napoli,ITA-Serie A,0.0,28.0,0.0,16.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,1.8,0.0,0.0,0.0,0.0,3006,34,Keeper,0.0,0.0,0.0,0.0,0.052941176470588235,0.47058823529411764,64.675,58.0,65.275,62.76926411638208,False
926445,Finn Dahmen,8406,FC Augsburg,GER-Bundesliga,0.0,29.8,1.0,4.0,1.5,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66,2.6,3.0,0.0,0.1,0.0,1980,22,Keeper,1.0,0.0,0.0,0.0,0.11818181818181818,0.18181818181818182,63.54297385620914,50.96732026143791,75.83022875816992,62.71439894584109,True
534955,Aaron Escandell,8670,Real Oviedo,ESP-La Liga,0.0,23.3,0.0,6.0,1.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.24,4.5,1.0,0.0,0.0,0.0,2070,23,Keeper,0.0,0.0,0.0,0.0,0.1956521739130435,0.2608695652173913,52.03431372549019,71.56862745098039,68.1372549019608,62.07948833752722,True
